행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_0~9세,2020년_계_10~19세,2020년_계_20~29세,2020년_계_30~39세,2020년_계_40~49세,2020년_계_50~59세,2020년_계_60~69세,2020년_계_70~79세,2020년_계_80~89세,2020년_계_90~99세,2020년_계_100세 이상
서울특별시 종로구 (1111000000),149384,149384,7527,11013,23416,19943,22231,25459,19948,12500,5978,1093,276
서울특별시 중구 (1114000000),125240,125240,6836,6773,18586,20107,18011,20702,17551,10733,4836,900,205
서울특별시 용산구 (1117000000),230040,230040,13496,15609,33485,38069,35698,37070,28840,17203,8572,1627,371
서울특별시 성동구 (1120000000),293556,293556,20449,19815,45043,48905,45020,47248,36534,20586,8520,1185,251
서울특별시 광진구 (1121500000),346682,346682,19572,25931,62940,55983,52482,54541,42460,22428,8850,1277,218
서울특별시 동대문구 (1123000000),342837,342837,20788,23647,56331,50175,50630,53262,46393,28195,11521,1582,313
서울특별시 중랑구 (1126000000),394702,394702,23064,26759,56112,58124,57883,69528,58222,31445,11758,1601,206
서울특별시 성북구 (1129000000),437153,437153,28822,37145,66972,59843,69839,69381,54897,33568,14229,2073,384
서울특별시 강북구 (1130500000),308055,308055,15714,22027,42944,38757,46718,52642,45892,30087,11516,1509,249
서울특별시 도봉구 (1132000000),325257,325257,18775,25627,43412,40993,48535,57020,49740,27706,11603,1671,175
서울특별시 노원구 (1135000000),523037,523037,33182,53235,73182,64740,86240,87828,67804,37536,16494,2508,288
서울특별시 은평구 (1138000000),479835,479835,29704,38676,67058,68502,76628,77274,64438,39121,15897,2112,425
서울특별시 서대문구 (1141000000),312173,312173,20175,23622,50356,45109,47487,49367,38558,24304,11246,1651,298
서울특별시 마포구 (1144000000),371890,371890,24899,28372,61904,64486,60995,54255,39559,24309,11096,1669,346
서울특별시 양천구 (1147000000),454251,454251,31552,50872,59774,57820,78993,76495,57551,28593,10721,1693,187
서울특별시 강서구 (1150000000),580185,580185,39560,44694,86991,99062,90888,86196,76340,38915,14778,2522,239
서울특별시 구로구 (1153000000),404408,404408,28199,30189,55415,63147,63203,63330,55983,31804,11443,1516,179
서울특별시 금천구 (1154500000),231733,231733,12548,14669,37127,35481,32903,40292,33119,18059,6479,879,177
서울특별시 영등포구 (1156000000),379480,379480,25836,24278,59076,69245,56438,56931,47072,27380,11339,1598,287
서울특별시 동작구 (1159000000),391220,391220,24564,27821,66545,62096,58912,58343,49162,29755,11895,1814,313
서울특별시 관악구 (1162000000),495060,495060,22372,28600,109135,86781,68484,68052,59243,37176,13141,1753,323
서울특별시 서초구 (1165000000),425126,425126,33851,45329,55091,63224,77355,63197,47797,27434,9787,1829,232
서울특별시 강남구 (1168000000),539231,539231,36766,59134,73940,81838,99266,80350,59423,34167,11813,2238,296
서울특별시 송파구 (1171000000),667960,667960,50744,59068,94119,110590,109299,102566,84184,40440,14132,2519,299
서울특별시 강동구 (1174000000),459970,459970,34750,38961,61457,72086,74044,72227,63244,30632,10450,1864,255
